Bew.-Nr.;Firmenname;Adresse;PLZ;Ort/Region;Kategorie;Weitere Aktivitäten;Tierart
40832416;Macello Fagetti;al S Ã€NT;6535;Roveredo GR GR;SH;SH(II), SH(III), GHE(IV);B, C, O, S
70602565;Macello Lardi;Via da mez 177 A;7742;Poschiavo GR;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
TI97568260;Macello Togni Michele e Ruth;Rufrass 29;6714;Semione TI;SH;;B, C, O
52112972;Markus Moser Kundenmetzgerei GmbH;Seetalstrasse 11;5630;Muri AG AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
41537712;Markus Stalder, Schlachthaus Bäch;Bäch 3;6222;Gunzwil LU;SH;;B, C, O, P
157;Marmy SA Viande en Gros;ch. des Marais 10;1470;Estavayer-le-Lac FR;SH, CP;CS(0), PP(XIII);B
43895703;"Martin Georges &amp; Pascal";Rte de Cremières 2;1070;Puidoux VD;SH, CP;SH(II);B, C, O, P, S
69523308;Mati Macello Ticino SA Guidotti Davide;Via Indüstri ;6705;Cresciano TI;SH;;B, C, O, P, S
70149127;Meier Marcel;Gottfried-Keller-Str. 19;8192;Glattfelden ZH;SH;SH(II), SH(III);B, C, O, P, S
46792285;Meier Martin;Löwenplatz 10;5612;Villmergen AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
61687989;Mettler Eugen;Goldplanggstrasse 8;6436;Muotathal SZ;SH;;B, C, O, P
51959752;Metzger Gabriel AG;Hauptstrasse 5;6386;Wolfenschiessen NW;SH, CP;MP(V), PP(VI);B, C, O, P
46112820;Metzgerei Alois Koller AG;Bernstrasse 47;4852;Rothrist AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
41251804;Metzgerei Brunner;Tösstalstr. 67;8488;Turbenthal ZH;SH;SH(II), SH(III);B, C, O, P, S
41032173;Metzgerei Burkard AG;Badstrasse 1;5737;Menziken AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
40835244;Metzgerei Chiesa GmbH;Via Muntegn 31;7603;Vicosoprano GR;SH;SH(III), GHE(IV);B, C, O, P
60601168;Metzgerei Diethelm AG;Rietstrasse 10;9436;Balgach SG;SH;;B, C, O
10505;Metzgerei Falknis Anstalt;Prär 1;9496;Balzers FL;SH;SH(III);B, C, O, P, S
41496972;Metzgerei Felder GmbH;Marktmätteli ;6162;Entlebuch LU;SH;;B, C, O, P
53560107;Metzgerei Frey AG;Braunauerstrasse 3;9512;Rossrüti SG;SH;;B, C, O, P, S
80562625;Metzgerei Frischkopf GmbH, 6275 Ballwil;Flurweidstrasse 8;6275;Ballwil LU;SH, CP;SH(III), CP(III);B, C, O, P, S
88549232;Metzgerei Gebr. Felder;Mattenstrasse 7;5745;Safenwil AG;SH;SH(II), SH(III), GHE(IV), PP(XIII);B, C, O, P, S
70626812;Metzgerei Gebr. Jucker AG;Dorfstr. 3;8483;Kollbrunn ZH;SH;SH(II), SH(III);B, C, O, P, S
45722009;Metzgerei Gebrüder Schuler AG;Müllernstrasse 23;6418;Rothenthurm SZ;SH;;B, C, O, P
53212955;Metzgerei Giger AG;Dorf 16;6162;Entlebuch LU;SH;;B, C, O, P
66515549;Metzgerei Gysin;Kirchweg 1;4448;Läufelfingen BL;SH;SH(II), SH(III), GHE(IV);B, C, O, P
50058322;Metzgerei Hacker;Zürcherstr. 19;8424;Embrach ZH;SH;SH(II), SH(III);B, C, O, P, S
40940770;Metzgerei Herrmann AG;Hauptstrasse 29;8583;Sulgen TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
