commune,count
Hasle Bei Burgdorf,2133.0
Butschwil-ganterschwil,2518.0
Mettauertal,705.0
le Noirmont,959.0
Oberried Am Brienzersee,140.0
San Vittore,119.0
Valbirse,983.0
le Mouret,1493.0
Conters Im Prattigau,211.0
Les Ponts-de-martel,1824.0
Jorat-menthue,782.0
la Chaux-du-milieu,1121.0
Prato,147.0
Delley-portalban,103.0
la Rippe,408.0
Prez,1721.0
Schaan,505.0
le Cerneux-pequignot,1046.0
Bozberg,708.0
Villorsonnens,2005.0
Villaz,1743.0
Tevenon,326.0
Stocken-hofen,958.0
la Ferriere,1137.0
Steg-hohtenn,53.0
Les Genevez,729.0
Hausen Am Albis,1357.0
Sauge,305.0
la Verrerie,3463.0
la Cote-aux-fees,918.0
Buren An der Aare,187.0
Hauptwil-gottshaus,1271.0
Bois-d'amont,1490.0
Schinznach,401.0
Montilliez,912.0
Castel San Pietro,39.0
Les Planchettes,514.0
le Bemont,1354.0
Wichtrach,582.0
Terre Di Pedemonte,40.0
Affoltern Im Emmental,1523.0
la Tour-de-peilz,0.0
Tresa,79.0
Twann-tuscherz,377.0
Vaduz,340.0
Jorat-mezieres,959.0
Landquart,940.0
Les Breuleux,1492.0
Goumoens,187.0
Affoltern Am Albis,469.0
Balzers,760.0
le Landeron,562.0
la Brillaz,1224.0
Les Montets,509.0
Buch Am Irchel,670.0
Torny,1383.0
le Mont-sur-lausanne,197.0
le Flon,1210.0
Santa Maria In Calanca,0.0
Sils Im Domleschg,144.0
Ronco Sopra Ascona,0.0
Eschen,691.0
Crans,164.0
Milvignes,72.0
Hofstetten Bei Brienz,334.0
Langnau Am Albis,317.0
Vevey,0.0
Morel-filet,41.0
Turtmann-unterems,709.0
Neuhausen Am Rheinfall,160.0
Kappel Am Albis,938.0
Aeugsaintam Albis,505.0
Lusslingen-nennigkofen,549.0
Riva San Vitale,
la Sarraz,155.0
Busingen Am Hochrhein,0.0
Muri Bei Bern,151.0
Ried Bei Kerzers,137.0
Richterswil,603.0
Mauren,391.0
le Chatelard,1507.0
Collina D'oro,0.0
Ruggell,563.0
Schwanden Bei Brienz,49.0
Les Enfers,383.0
Les Clees,114.0
Berg Am Irchel,106.0
Wangen Bei Olten,242.0
la Sonnaz,437.0
la Neuveville,66.0
Oberwil Bei Buren,285.0
la Chaux,249.0
Vulliens,490.0
Ruti Bei Buren,203.0
Noble-contree,96.0
Thalheim An der Thur,311.0
Diessbach Bei Buren,333.0
Buren,267.0
Brusino Arsizio,0.0
Oetwil Am See,481.0
Stein Am Rhein,147.0
Gretzenbach,86.0
Beinwil Am See,132.0
Val Mara,0.0
Balm Bei Gunsberg,177.0
la Tene,7.0
Saint-saphorin,18.0
Torricella-taverne,41.0
Wangen An der Aare,542.0
la Praz,271.0
Ellikon An der Thur,160.0
Bussigny,55.0
Gamprin,427.0
Drei Hofe,196.0
le Paquier,1121.0
Maracon,245.0
le Grand-saconnex,0.0
Tauffelen,80.0
Niederried Bei Interlaken,30.0
la Chaux-des-breuleux,0.0
Cademario,0.0
Matten Bei Interlaken,133.0
Brione Sopra Minusio,0.0
Wiler Bei Utzenstorf,67.0
Allmendingen,474.0
Wettswil Am Albis,61.0
Schellenberg,220.0
Uetikon Am See,144.0
Planken,0.0
Itingen,12.0
Rothenbrunnen,165.0
le Vaud,229.0
Walliswil Bei Wangen,123.0
Vugelles-la Mothe,82.0
Buhl,204.0
Busswil Bei Melchnau,268.0
Burg Im Leimental,
Oetwil An der Limmat,175.0
Oberhofen Am Thunersee,91.0
Campione D'italia,0.0
Vico Morcote,0.0
Morbio Inferiore,0.0
Deisswil Bei Munchenbuchsee,111.0
Bremgarten Bei Bern,88.0
Ponte Capriasca,25.0
Horn,172.0
Walliswil Bei Niederbipp,117.0
Vezia,82.0
Schonenbuch,122.0
Lalden,45.0
Ruti Bei Lyssach,200.0
Kriegstetten,75.0
Gottlieben,0.0
