Bew.-Nr.,Firmenname,Adresse,PLZ,Ort/Region,Kategorie,Weitere Aktivitäten,Tierart,Latitude,Longitude
TI97568260,Macello Togni Michele e Ruth,Rufrass 29,6714.0,Semione TI,SH,,"B, C, O",46.4083948,8.9704061
52112972,Markus Moser Kundenmetzgerei GmbH,Seetalstrasse 11,5630.0,Muri AG AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.2734421,8.3370368
41537712,"Markus Stalder, Schlachthaus Bäch",Bäch 3,6222.0,Gunzwil LU,SH,,"B, C, O, P",47.1740501,8.1679518
157,Marmy SA Viande en Gros,ch. des Marais 10,1470.0,Estavayer-le-Lac FR,"SH, CP","CS(0), PP(XIII)",B,46.8391119,6.8484293
43895703,Martin Georges &amp; Pascal,Rte de Cremières 2,1070.0,Puidoux VD,"SH, CP",SH(II),"B, C, O, P, S",46.4932842,6.7869127
69523308,Mati Macello Ticino SA Guidotti Davide,Via Indüstri ,6705.0,Cresciano TI,SH,,"B, C, O, P, S",46.27875,9.00261
70149127,Meier Marcel,Gottfried-Keller-Str. 19,8192.0,Glattfelden ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.5593633,8.499514
46792285,Meier Martin,Löwenplatz 10,5612.0,Villmergen AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.3446998,8.2451889
61687989,Mettler Eugen,Goldplanggstrasse 8,6436.0,Muotathal SZ,SH,,"B, C, O, P",46.9746412,8.7545688
51959752,Metzger Gabriel AG,Hauptstrasse 5,6386.0,Wolfenschiessen NW,"SH, CP","MP(V), PP(VI)","B, C, O, P",46.9104704,8.3959158
46112820,Metzgerei Alois Koller AG,Bernstrasse 47,4852.0,Rothrist AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.30508,7.89196
41251804,Metzgerei Brunner,Tösstalstr. 67,8488.0,Turbenthal ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.4406099,8.8433902
41032173,Metzgerei Burkard AG,Badstrasse 1,5737.0,Menziken AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.243431,8.1890001
40835244,Metzgerei Chiesa GmbH,Via Muntegn 31,7603.0,Vicosoprano GR,SH,"SH(III), GHE(IV)","B, C, O, P",46.35055,9.6238897
60601168,Metzgerei Diethelm AG,Rietstrasse 10,9436.0,Balgach SG,SH,,"B, C, O",47.4061356,9.6081193
10505,Metzgerei Falknis Anstalt,Prär 1,9496.0,Balzers FL,SH,SH(III),"B, C, O, P, S",47.00016,8.01427
41496972,Metzgerei Felder GmbH,Marktmätteli ,6162.0,Entlebuch LU,SH,,"B, C, O, P",46.97619,8.10786
53560107,Metzgerei Frey AG,Braunauerstrasse 3,9512.0,Rossrüti SG,SH,,"B, C, O, P, S",47.4747751,9.0610737
80562625,"Metzgerei Frischkopf GmbH, 6275 Ballwil",Flurweidstrasse 8,6275.0,Ballwil LU,"SH, CP","SH(III), CP(III)","B, C, O, P, S",47.1626877,8.3275643
88549232,Metzgerei Gebr. Felder,Mattenstrasse 7,5745.0,Safenwil AG,SH,"SH(II), SH(III), GHE(IV), PP(XIII)","B, C, O, P, S",47.3232913,7.9920033
70626812,Metzgerei Gebr. Jucker AG,Dorfstr. 3,8483.0,Kollbrunn ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.4577206,8.7747365
45722009,Metzgerei Gebrüder Schuler AG,Müllernstrasse 23,6418.0,Rothenthurm SZ,SH,,"B, C, O, P",47.1050817,8.6715139
53212955,Metzgerei Giger AG,Dorf 16,6162.0,Entlebuch LU,SH,,"B, C, O, P",46.9941309,8.0650742
66515549,Metzgerei Gysin,Kirchweg 1,4448.0,Läufelfingen BL,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P",47.3958565,7.8552185
50058322,Metzgerei Hacker,Zürcherstr. 19,8424.0,Embrach ZH,SH,"SH(II), SH(III)","B, C, O, P, S",47.50561,8.59406
40940770,Metzgerei Herrmann AG,Hauptstrasse 29,8583.0,Sulgen TG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P",47.5446339,9.1812431
41503289,Metzgerei Hähni AG,Gerbestrasse 12,3415.0,Hasle-Rüegsau BE,SH,,"B, C, O, P",47.01436,7.65112
41707906,Metzgerei Jud AG,Zürcherstrasse 53,8730.0,Uznach SG,SH,SH(III),"B, C, O, P, S",47.227463,8.9755795
41706483,Metzgerei Kaufmann AG,Neudorf ,9466.0,Sennwald SG,SH,,"B, C, O, P, S",47.26053,9.50268
45922417,Metzgerei Kreienbühl AG,Langenthalerstrasse 10,4803.0,Vordemwald AG,SH,"SH(II), SH(III), GHE(IV)","B, C, O, P, S",47.2747152,7.8992047
67519843,Metzgerei Lamm Türkel GmbH,Kirchstrasse 5,8580.0,Amriswil TG,SH,SH(II),"B, C, O",47.5495251,9.3000903
41962786,Metzgerei Lehmann AG,Dorfstrasse 24,3182.0,Ueberstorf FR,SH,"SH(III), CP(IV), GHE(IV)","B, C, O, P, S",46.8654368,7.3134124
66519302,Metzgerei Leibacher GmbH,Sandeggstrasse 2,8560.0,Märstetten TG,SH,"SH(III), GHE(IV)","B, C, O, P",47.5909973,9.070513
53250065,Metzgerei Loosli GmbH,Sandgütsch 2b,6024.0,Hildisrieden LU,SH,,"B, C, O, P",47.1485575,8.2286652
41980408,Metzgerei Lorétan AG,rte de Fribourg 17,1784.0,Courtepin FR,SH,"SH(II), CP(IV), GHE(IV)","B, C, O, P",46.8435737,7.1385318
